,precision,recall,f1-score,support
0,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
1,1.0,0.8571428571428571,0.9230769230769231,7.0
2,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
3,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
4,0.6363636363636364,0.7777777777777778,0.7,9.0
5,0.75,0.6,0.6666666666666666,5.0
6,0.5454545454545454,1.0,0.7058823529411765,6.0
accuracy,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
macro avg,0.7539960039960041,0.7335600907029478,0.7227311437395472,54.0
weighted avg,0.7674501424501424,0.7407407407407407,0.7367138308314779,54.0
