Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.1366,54.45,1.8485,28.21,0.001
2,0.6512,77.4,2.2958,53.85,0.001
3,0.3723,85.62,3.2799,25.64,0.001
4,0.2526,91.44,1.3294,56.41,0.001
5,0.3554,89.73,1.9763,58.97,0.001
6,0.204,91.78,1.908,60.26,0.001
7,0.1535,95.89,1.903,60.26,0.001
8,0.1539,96.58,2.9535,52.56,0.001
9,0.2282,90.07,2.0549,51.28,0.0005
10,0.2156,95.89,1.332,69.23,0.0005
11,0.138,95.89,1.6804,57.69,0.0005
12,0.1536,97.26,1.2321,70.51,0.0005
13,0.6685,93.49,1.9675,62.82,0.0005
14,0.1436,96.23,0.7721,75.64,0.0005
15,0.0857,98.63,0.959,76.92,0.0005
16,0.1718,97.26,0.8675,73.08,0.0005
17,0.2333,96.58,0.7373,79.49,0.0005
18,0.1827,96.23,0.702,79.49,0.0005
19,0.0682,97.6,0.7656,75.64,0.0005
20,0.1883,99.32,0.9421,73.08,0.00025
21,0.0405,99.66,0.7179,75.64,0.00025
22,0.0324,100.0,0.8272,76.92,0.00025
