Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.3607,49.66,6.5721,33.33,0.001
2,0.7958,70.55,5.2382,43.59,0.001
3,0.6387,81.16,5.5634,38.46,0.001
4,0.4001,89.73,2.7262,47.44,0.001
5,0.4187,84.93,6.1018,32.05,0.001
6,0.4353,89.04,3.0063,35.9,0.001
7,0.3566,86.64,1.0357,67.95,0.001
8,0.2666,92.12,2.3613,57.69,0.001
9,0.2377,94.18,1.9261,65.38,0.001
10,0.3796,90.07,3.9324,41.03,0.0005
11,0.2459,92.47,1.2005,71.79,0.0005
12,0.3455,96.23,2.1805,53.85,0.0005
13,0.3821,87.67,3.0473,43.59,0.0005
14,0.2693,92.81,0.7764,65.38,0.00025
15,0.1721,96.23,0.6128,80.77,0.00025
16,0.1875,96.92,0.6569,79.49,0.00025
17,0.0881,98.29,0.8291,78.21,0.00025
18,0.0502,100.0,0.6793,80.77,0.000125
19,0.0428,98.97,0.6083,83.33,0.000125
20,0.0883,99.32,0.6151,82.05,0.000125
21,0.1573,98.63,0.7546,75.64,0.000125
22,0.0841,98.29,0.6414,82.05,6.25e-05
23,0.2721,98.97,0.6763,79.49,6.25e-05
24,0.0298,98.97,0.591,82.05,6.25e-05
