Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.6155,42.12,20.4759,20.51,0.001
2,1.0782,55.14,23.9107,20.51,0.001
3,0.8003,68.84,3.8809,43.59,0.001
4,0.752,75.0,8.7241,33.33,0.001
5,0.6372,77.4,1.6546,57.69,0.001
6,0.4598,81.51,3.0115,50.0,0.001
7,0.8141,79.79,1.5102,61.54,0.001
8,0.4983,82.53,1.393,65.38,0.001
9,0.3032,89.04,1.1015,70.51,0.001
10,0.4069,90.41,1.9536,58.97,0.001
11,0.2565,93.15,1.7774,52.56,0.001
12,0.2572,91.1,1.1947,64.1,0.0005
13,0.3498,95.89,1.3928,65.38,0.0005
14,0.1654,95.89,1.0455,75.64,0.0005
15,0.2729,93.49,1.0488,73.08,0.0005
16,0.12,97.95,0.7169,78.21,0.0005
17,0.2994,96.92,0.9241,74.36,0.0005
18,0.1113,96.58,0.9289,73.08,0.0005
19,0.1913,97.95,1.0222,75.64,0.00025
20,0.1312,95.55,1.061,75.64,0.00025
21,0.2397,97.26,1.1904,69.23,0.00025
