Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.5459,36.3,1.8216,33.33,0.001
2,0.8129,68.15,3.3002,21.79,0.001
3,0.7051,77.74,1.6104,51.28,0.001
4,0.5413,85.27,2.6327,52.56,0.001
5,0.5316,84.59,1.8951,52.56,0.001
6,0.3804,86.99,2.4609,52.56,0.001
7,0.1799,94.18,0.889,71.79,0.001
8,0.1903,96.58,1.4979,62.82,0.001
9,0.2666,92.81,1.2115,61.54,0.001
10,0.276,94.18,1.829,61.54,0.0005
11,0.2135,93.49,0.8385,71.79,0.0005
12,0.0878,97.6,0.7608,74.36,0.0005
13,0.0394,100.0,0.7673,73.08,0.0005
14,0.1143,95.89,1.3956,69.23,0.0005
15,0.2024,96.23,1.7973,64.1,0.00025
16,0.0962,96.58,1.3791,64.1,0.00025
17,0.0581,98.97,1.006,69.23,0.00025
