,precision,recall,f1-score,support
0,0.7647058823529411,0.8666666666666667,0.8125,15.0
1,0.7777777777777778,1.0,0.875,7.0
2,0.75,0.5,0.6,6.0
3,1.0,0.5,0.6666666666666666,6.0
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
5,0.8333333333333334,1.0,0.9090909090909091,5.0
6,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
accuracy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
macro avg,0.803688141923436,0.7666666666666666,0.7661796536796536,54.0
weighted avg,0.788549987896393,0.7777777777777778,0.767739898989899,54.0
